year,region,profession,workforce_supply,population,demand_indicator
2011,Fraser,General Practitioners,1306.0,104556.0,
2011,Fraser,Medical Specialists,914.0,104556.0,
2011,Fraser,Other Practitioners,1600.0,104556.0,
2011,Interior,General Practitioners,924.0,109360.0,
2011,Interior,Medical Specialists,555.0,109360.0,
2011,Interior,Other Practitioners,1045.0,109360.0,
2011,Northern,General Practitioners,305.0,107574.0,
2011,Northern,Medical Specialists,142.0,107574.0,
2011,Northern,Other Practitioners,194.0,107574.0,
2011,Vancouver Coastal,General Practitioners,1383.0,57544.0,
2011,Vancouver Coastal,Medical Specialists,1835.0,57544.0,
2011,Vancouver Coastal,Other Practitioners,1855.0,57544.0,
2011,Vancouver Island,General Practitioners,1073.0,97562.0,
2011,Vancouver Island,Medical Specialists,720.0,97562.0,
2011,Vancouver Island,Other Practitioners,1245.0,97562.0,
2012,Fraser,General Practitioners,1371.85,109828.0,
2012,Fraser,Medical Specialists,960.09,109828.0,
2012,Fraser,Other Practitioners,1680.68,109828.0,
2012,Interior,General Practitioners,964.37,114138.0,
2012,Interior,Medical Specialists,579.25,114138.0,
2012,Interior,Other Practitioners,1090.66,114138.0,
2012,Northern,General Practitioners,310.34,109458.0,
2012,Northern,Medical Specialists,144.49,109458.0,
2012,Northern,Other Practitioners,197.4,109458.0,
2012,Vancouver Coastal,General Practitioners,1421.74,59156.0,
2012,Vancouver Coastal,Medical Specialists,1886.4,59156.0,
2012,Vancouver Coastal,Other Practitioners,1906.96,59156.0,
2012,Vancouver Island,General Practitioners,1121.81,102000.0,
2012,Vancouver Island,Medical Specialists,752.75,102000.0,
2012,Vancouver Island,Other Practitioners,1301.63,102000.0,
2013,Fraser,General Practitioners,1438.55,115168.0,
2013,Fraser,Medical Specialists,1006.77,115168.0,
2013,Fraser,Other Practitioners,1762.39,115168.0,
2013,Interior,General Practitioners,1004.39,118874.0,
2013,Interior,Medical Specialists,603.28,118874.0,
2013,Interior,Other Practitioners,1135.91,118874.0,
2013,Northern,General Practitioners,315.39,111240.0,
2013,Northern,Medical Specialists,146.84,111240.0,
2013,Northern,Other Practitioners,200.61,111240.0,
2013,Vancouver Coastal,General Practitioners,1460.53,60770.0,
2013,Vancouver Coastal,Medical Specialists,1937.87,60770.0,
2013,Vancouver Coastal,Other Practitioners,1958.99,60770.0,
2013,Vancouver Island,General Practitioners,1171.48,106516.0,
2013,Vancouver Island,Medical Specialists,786.08,106516.0,
2013,Vancouver Island,Other Practitioners,1359.26,106516.0,
2014,Fraser,General Practitioners,1504.36,120436.0,
2014,Fraser,Medical Specialists,1052.82,120436.0,
2014,Fraser,Other Practitioners,1843.01,120436.0,
2014,Interior,General Practitioners,1045.03,123684.0,
2014,Interior,Medical Specialists,627.69,123684.0,
2014,Interior,Other Practitioners,1181.87,123684.0,
2014,Northern,General Practitioners,320.63,113086.0,
2014,Northern,Medical Specialists,149.28,113086.0,
2014,Northern,Other Practitioners,203.94,113086.0,
2014,Vancouver Coastal,General Practitioners,1500.38,62428.0,
2014,Vancouver Coastal,Medical Specialists,1990.74,62428.0,
2014,Vancouver Coastal,Other Practitioners,2012.44,62428.0,
2014,Vancouver Island,General Practitioners,1219.94,110922.0,
2014,Vancouver Island,Medical Specialists,818.6,110922.0,
2014,Vancouver Island,Other Practitioners,1415.49,110922.0,
2015,Fraser,General Practitioners,1571.13,125782.0,
2015,Fraser,Medical Specialists,1099.55,125782.0,
2015,Fraser,Other Practitioners,1924.82,125782.0,
2015,Interior,General Practitioners,1085.28,128448.0,
2015,Interior,Medical Specialists,651.87,128448.0,
2015,Interior,Other Practitioners,1227.4,128448.0,
2015,Northern,General Practitioners,325.86,114932.0,
2015,Northern,Medical Specialists,151.71,114932.0,
2015,Northern,Other Practitioners,207.27,114932.0,
2015,Vancouver Coastal,General Practitioners,1536.91,63948.0,
2015,Vancouver Coastal,Medical Specialists,2039.21,63948.0,
2015,Vancouver Coastal,Other Practitioners,2061.44,63948.0,
2015,Vancouver Island,General Practitioners,1269.56,115434.0,
2015,Vancouver Island,Medical Specialists,851.89,115434.0,
2015,Vancouver Island,Other Practitioners,1473.07,115434.0,
2016,Fraser,General Practitioners,1636.88,131046.0,
2016,Fraser,Medical Specialists,1145.57,131046.0,
2016,Fraser,Other Practitioners,2005.37,131046.0,
2016,Interior,General Practitioners,1126.0,133268.0,
2016,Interior,Medical Specialists,676.33,133268.0,
2016,Interior,Other Practitioners,1273.46,133268.0,
2016,Northern,General Practitioners,331.11,116784.0,
2016,Northern,Medical Specialists,154.16,116784.0,
2016,Northern,Other Practitioners,210.61,116784.0,
2016,Vancouver Coastal,General Practitioners,1576.23,65584.0,
2016,Vancouver Coastal,Medical Specialists,2091.38,65584.0,
2016,Vancouver Coastal,Other Practitioners,2114.18,65584.0,
2016,Vancouver Island,General Practitioners,1318.08,119846.0,
2016,Vancouver Island,Medical Specialists,884.45,119846.0,
2016,Vancouver Island,Other Practitioners,1529.37,119846.0,
2017,Fraser,General Practitioners,1653.97,132414.0,
2017,Fraser,Medical Specialists,1157.53,132414.0,
2017,Fraser,Other Practitioners,2026.31,132414.0,
2017,Interior,General Practitioners,1156.15,136836.0,
2017,Interior,Medical Specialists,694.44,136836.0,
2017,Interior,Other Practitioners,1307.55,136836.0,
2017,Northern,General Practitioners,331.44,116900.0,
2017,Northern,Medical Specialists,154.31,116900.0,
2017,Northern,Other Practitioners,210.82,116900.0,
2017,Vancouver Coastal,General Practitioners,1597.29,66460.0,
2017,Vancouver Coastal,Medical Specialists,2119.32,66460.0,
2017,Vancouver Coastal,Other Practitioners,2142.42,66460.0,
2017,Vancouver Island,General Practitioners,1350.39,122784.0,
2017,Vancouver Island,Medical Specialists,906.14,122784.0,
2017,Vancouver Island,Other Practitioners,1566.86,122784.0,
2018,Fraser,General Practitioners,1671.28,133800.0,
2018,Fraser,Medical Specialists,1169.64,133800.0,
2018,Fraser,Other Practitioners,2047.52,133800.0,
2018,Interior,General Practitioners,1186.75,140458.0,
2018,Interior,Medical Specialists,712.82,140458.0,
2018,Interior,Other Practitioners,1342.16,140458.0,
2018,Northern,General Practitioners,331.71,116996.0,
2018,Northern,Medical Specialists,154.44,116996.0,
2018,Northern,Other Practitioners,210.99,116996.0,
2018,Vancouver Coastal,General Practitioners,1618.05,67324.0,
2018,Vancouver Coastal,Medical Specialists,2146.87,67324.0,
2018,Vancouver Coastal,Other Practitioners,2170.27,67324.0,
2018,Vancouver Island,General Practitioners,1382.25,125680.0,
2018,Vancouver Island,Medical Specialists,927.51,125680.0,
2018,Vancouver Island,Other Practitioners,1603.82,125680.0,
2019,Fraser,General Practitioners,1688.57,135184.0,
2019,Fraser,Medical Specialists,1181.74,135184.0,
2019,Fraser,Other Practitioners,2068.69,135184.0,
2019,Interior,General Practitioners,1216.51,143980.0,
2019,Interior,Medical Specialists,730.7,143980.0,
2019,Interior,Other Practitioners,1375.81,143980.0,
2019,Northern,General Practitioners,332.11,117136.0,
2019,Northern,Medical Specialists,154.62,117136.0,
2019,Northern,Other Practitioners,211.24,117136.0,
2019,Vancouver Coastal,General Practitioners,1639.01,68196.0,
2019,Vancouver Coastal,Medical Specialists,2174.68,68196.0,
2019,Vancouver Coastal,Other Practitioners,2198.38,68196.0,
2019,Vancouver Island,General Practitioners,1414.62,128624.0,
2019,Vancouver Island,Medical Specialists,949.24,128624.0,
2019,Vancouver Island,Other Practitioners,1641.39,128624.0,
2020,Fraser,General Practitioners,1705.98,136578.0,33567.0
2020,Fraser,Medical Specialists,1193.93,136578.0,33567.0
2020,Fraser,Other Practitioners,2090.03,136578.0,33567.0
2020,Interior,General Practitioners,1246.96,147584.0,4087.0
2020,Interior,Medical Specialists,748.99,147584.0,4087.0
2020,Interior,Other Practitioners,1410.25,147584.0,4087.0
2020,Northern,General Practitioners,332.34,117216.0,2045.0
2020,Northern,Medical Specialists,154.73,117216.0,2045.0
2020,Northern,Other Practitioners,211.39,117216.0,2045.0
2020,Vancouver Coastal,General Practitioners,1659.24,69038.0,12246.0
2020,Vancouver Coastal,Medical Specialists,2201.53,69038.0,12246.0
2020,Vancouver Coastal,Other Practitioners,2225.52,69038.0,12246.0
2020,Vancouver Island,General Practitioners,1447.0,131568.0,944.0
2020,Vancouver Island,Medical Specialists,970.96,131568.0,944.0
2020,Vancouver Island,Other Practitioners,1678.95,131568.0,944.0
2021,Fraser,General Practitioners,1722.52,137902.0,93434.0
2021,Fraser,Medical Specialists,1205.5,137902.0,93434.0
2021,Fraser,Other Practitioners,2110.29,137902.0,93434.0
2021,Interior,General Practitioners,1277.41,151188.0,34487.0
2021,Interior,Medical Specialists,767.28,151188.0,34487.0
2021,Interior,Other Practitioners,1444.69,151188.0,34487.0
2021,Northern,General Practitioners,332.72,117350.0,17149.0
2021,Northern,Medical Specialists,154.9,117350.0,17149.0
2021,Northern,Other Practitioners,211.63,117350.0,17149.0
2021,Vancouver Coastal,General Practitioners,1681.12,69948.0,43591.0
2021,Vancouver Coastal,Medical Specialists,2230.55,69948.0,43591.0
2021,Vancouver Coastal,Other Practitioners,2254.86,69948.0,43591.0
2021,Vancouver Island,General Practitioners,1478.83,134462.0,17381.0
2021,Vancouver Island,Medical Specialists,992.32,134462.0,17381.0
2021,Vancouver Island,Other Practitioners,1715.89,134462.0,17381.0
2022,Fraser,General Practitioners,1769.99,141702.0,44157.0
2022,Fraser,Medical Specialists,1238.72,141702.0,44157.0
2022,Fraser,Other Practitioners,2168.44,141702.0,44157.0
2022,Interior,General Practitioners,1319.52,156172.0,31759.0
2022,Interior,Medical Specialists,792.57,156172.0,31759.0
2022,Interior,Other Practitioners,1492.32,156172.0,31759.0
2022,Northern,General Practitioners,338.99,119564.0,12280.0
2022,Northern,Medical Specialists,157.83,119564.0,12280.0
2022,Northern,Other Practitioners,215.62,119564.0,12280.0
2022,Vancouver Coastal,General Practitioners,1689.62,70302.0,24070.0
2022,Vancouver Coastal,Medical Specialists,2241.84,70302.0,24070.0
2022,Vancouver Coastal,Other Practitioners,2266.27,70302.0,24070.0
2022,Vancouver Island,General Practitioners,1508.53,137162.0,21581.0
2022,Vancouver Island,Medical Specialists,1012.24,137162.0,21581.0
2022,Vancouver Island,Other Practitioners,1750.34,137162.0,21581.0
2023,Fraser,General Practitioners,1818.68,145600.0,2359.0
2023,Fraser,Medical Specialists,1272.8,145600.0,2359.0
2023,Fraser,Other Practitioners,2228.09,145600.0,2359.0
2023,Interior,General Practitioners,1362.04,161204.0,1163.0
2023,Interior,Medical Specialists,818.11,161204.0,1163.0
2023,Interior,Other Practitioners,1540.4,161204.0,1163.0
2023,Northern,General Practitioners,345.11,121722.0,343.0
2023,Northern,Medical Specialists,160.68,121722.0,343.0
2023,Northern,Other Practitioners,219.51,121722.0,343.0
2023,Vancouver Coastal,General Practitioners,1695.01,70526.0,1442.0
2023,Vancouver Coastal,Medical Specialists,2248.98,70526.0,1442.0
2023,Vancouver Coastal,Other Practitioners,2273.49,70526.0,1442.0
2023,Vancouver Island,General Practitioners,1537.56,139802.0,1018.0
2023,Vancouver Island,Medical Specialists,1031.73,139802.0,1018.0
2023,Vancouver Island,Other Practitioners,1784.03,139802.0,1018.0
2024,Fraser,General Practitioners,1869.22,149646.0,
2024,Fraser,Medical Specialists,1308.16,149646.0,
2024,Fraser,Other Practitioners,2290.0,149646.0,
2024,Interior,General Practitioners,1405.42,166338.0,
2024,Interior,Medical Specialists,844.16,166338.0,
2024,Interior,Other Practitioners,1589.46,166338.0,
2024,Northern,General Practitioners,351.3,123904.0,
2024,Northern,Medical Specialists,163.56,123904.0,
2024,Northern,Other Practitioners,223.45,123904.0,
2024,Vancouver Coastal,General Practitioners,1699.04,70694.0,
2024,Vancouver Coastal,Medical Specialists,2254.34,70694.0,
2024,Vancouver Coastal,Other Practitioners,2278.91,70694.0,
2024,Vancouver Island,General Practitioners,1566.84,142464.0,
2024,Vancouver Island,Medical Specialists,1051.37,142464.0,
2024,Vancouver Island,Other Practitioners,1818.0,142464.0,
2025,Fraser,General Practitioners,1919.3,153656.0,
2025,Fraser,Medical Specialists,1343.22,153656.0,
2025,Fraser,Other Practitioners,2351.37,153656.0,
2025,Interior,General Practitioners,1450.3,171650.0,
2025,Interior,Medical Specialists,871.12,171650.0,
2025,Interior,Other Practitioners,1640.22,171650.0,
2025,Northern,General Practitioners,357.58,126120.0,
2025,Northern,Medical Specialists,166.48,126120.0,
2025,Northern,Other Practitioners,227.45,126120.0,
2025,Vancouver Coastal,General Practitioners,1700.1,70738.0,
