region,profession,year,workforce_supply
Fraser,General Practitioners,2011,1306.0
Fraser,Medical Specialists,2011,914.0
Fraser,Other Practitioners,2011,1600.0
Interior,General Practitioners,2011,924.0
Interior,Medical Specialists,2011,555.0
Interior,Other Practitioners,2011,1045.0
Northern,General Practitioners,2011,305.0
Northern,Medical Specialists,2011,142.0
Northern,Other Practitioners,2011,194.0
Vancouver Coastal,General Practitioners,2011,1383.0
Vancouver Coastal,Medical Specialists,2011,1835.0
Vancouver Coastal,Other Practitioners,2011,1855.0
Vancouver Island,General Practitioners,2011,1073.0
Vancouver Island,Medical Specialists,2011,720.0
Vancouver Island,Other Practitioners,2011,1245.0
Fraser,General Practitioners,2012,1371.85
Fraser,Medical Specialists,2012,960.09
Fraser,Other Practitioners,2012,1680.68
Interior,General Practitioners,2012,964.37
Interior,Medical Specialists,2012,579.25
Interior,Other Practitioners,2012,1090.66
Northern,General Practitioners,2012,310.34
Northern,Medical Specialists,2012,144.49
Northern,Other Practitioners,2012,197.4
Vancouver Coastal,General Practitioners,2012,1421.74
Vancouver Coastal,Medical Specialists,2012,1886.4
Vancouver Coastal,Other Practitioners,2012,1906.96
Vancouver Island,General Practitioners,2012,1121.81
Vancouver Island,Medical Specialists,2012,752.75
Vancouver Island,Other Practitioners,2012,1301.63
Fraser,General Practitioners,2013,1438.55
Fraser,Medical Specialists,2013,1006.77
Fraser,Other Practitioners,2013,1762.39
Interior,General Practitioners,2013,1004.39
Interior,Medical Specialists,2013,603.28
Interior,Other Practitioners,2013,1135.91
Northern,General Practitioners,2013,315.39
Northern,Medical Specialists,2013,146.84
Northern,Other Practitioners,2013,200.61
Vancouver Coastal,General Practitioners,2013,1460.53
Vancouver Coastal,Medical Specialists,2013,1937.87
Vancouver Coastal,Other Practitioners,2013,1958.99
Vancouver Island,General Practitioners,2013,1171.48
Vancouver Island,Medical Specialists,2013,786.08
Vancouver Island,Other Practitioners,2013,1359.26
Fraser,General Practitioners,2014,1504.36
Fraser,Medical Specialists,2014,1052.82
Fraser,Other Practitioners,2014,1843.01
Interior,General Practitioners,2014,1045.03
Interior,Medical Specialists,2014,627.69
Interior,Other Practitioners,2014,1181.87
Northern,General Practitioners,2014,320.63
Northern,Medical Specialists,2014,149.28
Northern,Other Practitioners,2014,203.94
Vancouver Coastal,General Practitioners,2014,1500.38
Vancouver Coastal,Medical Specialists,2014,1990.74
Vancouver Coastal,Other Practitioners,2014,2012.44
Vancouver Island,General Practitioners,2014,1219.94
Vancouver Island,Medical Specialists,2014,818.6
Vancouver Island,Other Practitioners,2014,1415.49
Fraser,General Practitioners,2015,1571.13
Fraser,Medical Specialists,2015,1099.55
Fraser,Other Practitioners,2015,1924.82
Interior,General Practitioners,2015,1085.28
Interior,Medical Specialists,2015,651.87
Interior,Other Practitioners,2015,1227.4
Northern,General Practitioners,2015,325.86
Northern,Medical Specialists,2015,151.71
Northern,Other Practitioners,2015,207.27
Vancouver Coastal,General Practitioners,2015,1536.91
Vancouver Coastal,Medical Specialists,2015,2039.21
Vancouver Coastal,Other Practitioners,2015,2061.44
Vancouver Island,General Practitioners,2015,1269.56
Vancouver Island,Medical Specialists,2015,851.89
Vancouver Island,Other Practitioners,2015,1473.07
Fraser,General Practitioners,2016,1636.88
Fraser,Medical Specialists,2016,1145.57
Fraser,Other Practitioners,2016,2005.37
Interior,General Practitioners,2016,1126.0
Interior,Medical Specialists,2016,676.33
Interior,Other Practitioners,2016,1273.46
Northern,General Practitioners,2016,331.11
Northern,Medical Specialists,2016,154.16
Northern,Other Practitioners,2016,210.61
Vancouver Coastal,General Practitioners,2016,1576.23
Vancouver Coastal,Medical Specialists,2016,2091.38
Vancouver Coastal,Other Practitioners,2016,2114.18
Vancouver Island,General Practitioners,2016,1318.08
Vancouver Island,Medical Specialists,2016,884.45
Vancouver Island,Other Practitioners,2016,1529.37
Fraser,General Practitioners,2017,1653.97
Fraser,Medical Specialists,2017,1157.53
Fraser,Other Practitioners,2017,2026.31
Interior,General Practitioners,2017,1156.15
Interior,Medical Specialists,2017,694.44
Interior,Other Practitioners,2017,1307.55
Northern,General Practitioners,2017,331.44
Northern,Medical Specialists,2017,154.31
Northern,Other Practitioners,2017,210.82
Vancouver Coastal,General Practitioners,2017,1597.29
Vancouver Coastal,Medical Specialists,2017,2119.32
Vancouver Coastal,Other Practitioners,2017,2142.42
Vancouver Island,General Practitioners,2017,1350.39
Vancouver Island,Medical Specialists,2017,906.14
Vancouver Island,Other Practitioners,2017,1566.86
Fraser,General Practitioners,2018,1671.28
Fraser,Medical Specialists,2018,1169.64
Fraser,Other Practitioners,2018,2047.52
Interior,General Practitioners,2018,1186.75
Interior,Medical Specialists,2018,712.82
Interior,Other Practitioners,2018,1342.16
Northern,General Practitioners,2018,331.71
Northern,Medical Specialists,2018,154.44
Northern,Other Practitioners,2018,210.99
Vancouver Coastal,General Practitioners,2018,1618.05
Vancouver Coastal,Medical Specialists,2018,2146.87
Vancouver Coastal,Other Practitioners,2018,2170.27
Vancouver Island,General Practitioners,2018,1382.25
Vancouver Island,Medical Specialists,2018,927.51
Vancouver Island,Other Practitioners,2018,1603.82
Fraser,General Practitioners,2019,1688.57
Fraser,Medical Specialists,2019,1181.74
Fraser,Other Practitioners,2019,2068.69
Interior,General Practitioners,2019,1216.51
Interior,Medical Specialists,2019,730.7
Interior,Other Practitioners,2019,1375.81
Northern,General Practitioners,2019,332.11
Northern,Medical Specialists,2019,154.62
Northern,Other Practitioners,2019,211.24
Vancouver Coastal,General Practitioners,2019,1639.01
Vancouver Coastal,Medical Specialists,2019,2174.68
Vancouver Coastal,Other Practitioners,2019,2198.38
Vancouver Island,General Practitioners,2019,1414.62
Vancouver Island,Medical Specialists,2019,949.24
Vancouver Island,Other Practitioners,2019,1641.39
Fraser,General Practitioners,2020,1705.98
Fraser,Medical Specialists,2020,1193.93
Fraser,Other Practitioners,2020,2090.03
Interior,General Practitioners,2020,1246.96
Interior,Medical Specialists,2020,748.99
Interior,Other Practitioners,2020,1410.25
Northern,General Practitioners,2020,332.34
Northern,Medical Specialists,2020,154.73
Northern,Other Practitioners,2020,211.39
Vancouver Coastal,General Practitioners,2020,1659.24
Vancouver Coastal,Medical Specialists,2020,2201.53
Vancouver Coastal,Other Practitioners,2020,2225.52
Vancouver Island,General Practitioners,2020,1447.0
Vancouver Island,Medical Specialists,2020,970.96
Vancouver Island,Other Practitioners,2020,1678.95
Fraser,General Practitioners,2021,1722.52
Fraser,Medical Specialists,2021,1205.5
Fraser,Other Practitioners,2021,2110.29
Interior,General Practitioners,2021,1277.41
Interior,Medical Specialists,2021,767.28
Interior,Other Practitioners,2021,1444.69
Northern,General Practitioners,2021,332.72
Northern,Medical Specialists,2021,154.9
Northern,Other Practitioners,2021,211.63
Vancouver Coastal,General Practitioners,2021,1681.12
Vancouver Coastal,Medical Specialists,2021,2230.55
Vancouver Coastal,Other Practitioners,2021,2254.86
Vancouver Island,General Practitioners,2021,1478.83
Vancouver Island,Medical Specialists,2021,992.32
Vancouver Island,Other Practitioners,2021,1715.89
Fraser,General Practitioners,2022,1769.99
Fraser,Medical Specialists,2022,1238.72
Fraser,Other Practitioners,2022,2168.44
Interior,General Practitioners,2022,1319.52
Interior,Medical Specialists,2022,792.57
Interior,Other Practitioners,2022,1492.32
Northern,General Practitioners,2022,338.99
Northern,Medical Specialists,2022,157.83
Northern,Other Practitioners,2022,215.62
Vancouver Coastal,General Practitioners,2022,1689.62
Vancouver Coastal,Medical Specialists,2022,2241.84
Vancouver Coastal,Other Practitioners,2022,2266.27
Vancouver Island,General Practitioners,2022,1508.53
Vancouver Island,Medical Specialists,2022,1012.24
Vancouver Island,Other Practitioners,2022,1750.34
Fraser,General Practitioners,2023,1818.68
Fraser,Medical Specialists,2023,1272.8
Fraser,Other Practitioners,2023,2228.09
Interior,General Practitioners,2023,1362.04
Interior,Medical Specialists,2023,818.11
Interior,Other Practitioners,2023,1540.4
Northern,General Practitioners,2023,345.11
Northern,Medical Specialists,2023,160.68
Northern,Other Practitioners,2023,219.51
Vancouver Coastal,General Practitioners,2023,1695.01
Vancouver Coastal,Medical Specialists,2023,2248.98
Vancouver Coastal,Other Practitioners,2023,2273.49
Vancouver Island,General Practitioners,2023,1537.56
Vancouver Island,Medical Specialists,2023,1031.73
Vancouver Island,Other Practitioners,2023,1784.03
Fraser,General Practitioners,2024,1869.22
Fraser,Medical Specialists,2024,1308.16
Fraser,Other Practitioners,2024,2290.0
Interior,General Practitioners,2024,1405.42
Interior,Medical Specialists,2024,844.16
Interior,Other Practitioners,2024,1589.46
Northern,General Practitioners,2024,351.3
Northern,Medical Specialists,2024,163.56
Northern,Other Practitioners,2024,223.45
Vancouver Coastal,General Practitioners,2024,1699.04
Vancouver Coastal,Medical Specialists,2024,2254.34
Vancouver Coastal,Other Practitioners,2024,2278.91
Vancouver Island,General Practitioners,2024,1566.84
Vancouver Island,Medical Specialists,2024,1051.37
Vancouver Island,Other Practitioners,2024,1818.0
Fraser,General Practitioners,2025,1919.3
Fraser,Medical Specialists,2025,1343.22
Fraser,Other Practitioners,2025,2351.37
Interior,General Practitioners,2025,1450.3
Interior,Medical Specialists,2025,871.12
Interior,Other Practitioners,2025,1640.22
Northern,General Practitioners,2025,357.58
Northern,Medical Specialists,2025,166.48
Northern,Other Practitioners,2025,227.45
Vancouver Coastal,General Practitioners,2025,1700.1
Vancouver Coastal,Medical Specialists,2025,2255.74
Vancouver Coastal,Other Practitioners,2025,2280.32
Vancouver Island,General Practitioners,2025,1596.56
Vancouver Island,Medical Specialists,2025,1071.31
Vancouver Island,Other Practitioners,2025,1852.48
Fraser,General Practitioners,2026,1973.21
Fraser,Medical Specialists,2026,1380.95
Fraser,Other Practitioners,2026,2417.41
Interior,General Practitioners,2026,1495.45
Interior,Medical Specialists,2026,898.24
Interior,Other Practitioners,2026,1691.28
Northern,General Practitioners,2026,363.38
Northern,Medical Specialists,2026,169.18
Northern,Other Practitioners,2026,231.14
Vancouver Coastal,General Practitioners,2026,1702.26
Vancouver Coastal,Medical Specialists,2026,2258.61
Vancouver Coastal,Other Practitioners,2026,2283.23
Vancouver Island,General Practitioners,2026,1625.61
Vancouver Island,Medical Specialists,2026,1090.81
Vancouver Island,Other Practitioners,2026,1886.2
Fraser,General Practitioners,2027,2028.02
Fraser,Medical Specialists,2027,1419.31
Fraser,Other Practitioners,2027,2484.56
Interior,General Practitioners,2027,1541.84
Interior,Medical Specialists,2027,926.1
Interior,Other Practitioners,2027,1743.74
Northern,General Practitioners,2027,369.07
Northern,Medical Specialists,2027,171.83
Northern,Other Practitioners,2027,234.75
Vancouver Coastal,General Practitioners,2027,1701.5
Vancouver Coastal,Medical Specialists,2027,2257.59
Vancouver Coastal,Other Practitioners,2027,2282.19
Vancouver Island,General Practitioners,2027,1655.29
Vancouver Island,Medical Specialists,2027,1110.72
Vancouver Island,Other Practitioners,2027,1920.62
Fraser,General Practitioners,2028,2084.93
Fraser,Medical Specialists,2028,1459.13
Fraser,Other Practitioners,2028,2554.28
Interior,General Practitioners,2028,1589.0
Interior,Medical Specialists,2028,954.43
Interior,Other Practitioners,2028,1797.08
Northern,General Practitioners,2028,374.51
Northern,Medical Specialists,2028,174.36
Northern,Other Practitioners,2028,238.21
Vancouver Coastal,General Practitioners,2028,1698.9
Vancouver Coastal,Medical Specialists,2028,2254.14
Vancouver Coastal,Other Practitioners,2028,2278.71
Vancouver Island,General Practitioners,2028,1684.34
Vancouver Island,Medical Specialists,2028,1130.22
Vancouver Island,Other Practitioners,2028,1954.34
Fraser,General Practitioners,2029,2144.34
Fraser,Medical Specialists,2029,1500.71
Fraser,Other Practitioners,2029,2627.06
Interior,General Practitioners,2029,1636.99
Interior,Medical Specialists,2029,983.26
Interior,Other Practitioners,2029,1851.36
Northern,General Practitioners,2029,379.62
Northern,Medical Specialists,2029,176.74
Northern,Other Practitioners,2029,241.46
Vancouver Coastal,General Practitioners,2029,1692.75
Vancouver Coastal,Medical Specialists,2029,2245.98
Vancouver Coastal,Other Practitioners,2029,2270.46
Vancouver Island,General Practitioners,2029,1713.44
Vancouver Island,Medical Specialists,2029,1149.75
Vancouver Island,Other Practitioners,2029,1988.11
Fraser,General Practitioners,2030,2205.25
Fraser,Medical Specialists,2030,1543.33
Fraser,Other Practitioners,2030,2701.68
Interior,General Practitioners,2030,1685.54
Interior,Medical Specialists,2030,1012.42
Interior,Other Practitioners,2030,1906.26
Northern,General Practitioners,2030,384.59
Northern,Medical Specialists,2030,179.06
Northern,Other Practitioners,2030,244.63
Vancouver Coastal,General Practitioners,2030,1684.72
Vancouver Coastal,Medical Specialists,2030,2235.33
