Region,Region.Name,Region.Type,Year,Type,Gender,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
0,British Columbia,Children and Family Development,1976,Estimate,F,1261066,17236,17142,16809,17630,17919,19401,19612,19330,18810,19393,20216,21655,23233,24107,23855,24451,24783,23922,23715,23399,23722,24211,23928,23563,23016,22474,22465,21831,22351,22707,18808,18245,18347,17683,16271,15657,14652,14031,13698,13453,13200,12993,12842,13321,12847,13372,13214,13306,12882,13150,13494,13752,14031,13893,14171,13769,13445,11944,11373,11691,11613,12208,11820,10938,10645,10042,9311,8848,8567,7909,7466,6890,6641,6175,5785,5706,5208,4862,4445,4267,4005,3639,3218,3085,2801,2502,2187,1961,1693,1368,4840
0,British Columbia,Children and Family Development,1976,Estimate,M,1272833,17931,17892,17696,18277,18867,20276,20626,20275,19729,20292,20795,22733,24146,25126,24705,25482,25750,24789,24410,23642,24270,24285,23770,23972,23417,23286,23403,22894,23564,23794,20205,19324,19597,18813,17380,16639,15741,15209,14858,14363,14636,14279,14446,14651,14727,14775,14527,13995,13860,13655,13472,13188,13258,12858,13315,12762,12510,10646,10201,10418,10615,11224,10760,10334,9758,9011,8770,8232,7935,7437,7107,6694,6107,5706,5282,4852,4243,3660,3174,2890,2626,2475,2276,2079,1818,1574,1488,1292,1086,827,3099
0,British Columbia,Children and Family Development,1976,Estimate,T,2533899,35167,35034,34505,35907,36786,39677,40238,39605,38539,39685,41011,44388,47379,49233,48560,49933,50533,48711,48125,47041,47992,48496,47698,47535,46433,45760,45868,44725,45915,46501,39013,37569,37944,36496,33651,32296,30393,29240,28556,27816,27836,27272,27288,27972,27574,28147,27741,27301,26742,26805,26966,26940,27289,26751,27486,26531,25955,22590,21574,22109,22228,23432,22580,21272,20403,19053,18081,17080,16502,15346,14573,13584,12748,11881,11067,10558,9451,8522,7619,7157,6631,6114,5494,5164,4619,4076,3675,3253,2779,2195,7939
0,British Columbia,Children and Family Development,1981,Estimate,F,1413220,19776,19396,19045,18529,18342,18728,18800,18267,18898,19237,20720,20856,20630,20216,20474,21686,23537,25024,25696,25639,26555,27329,27302,27549,27326,26641,26683,26072,25553,25036,24695,24729,24074,24178,24507,20121,19099,18936,18420,17080,16759,15661,14958,14570,14231,13940,13561,13043,13652,13338,13893,13881,13833,13416,13703,13923,14296,14607,14317,14679,14713,14248,12446,11855,12072,12174,12593,12064,11150,10293,9794,9228,8579,8088,7346,6936,6287,6037,5391,4900,4654,4191,3845,3489,3196,2871,2708,2198,1938,1693,6601
0,British Columbia,Children and Family Development,1981,Estimate,M,1413338,20490,20276,19932,19567,19815,19647,19737,19324,19651,20261,21734,22017,21680,21165,21480,22597,24765,26225,26903,26748,27266,27945,27462,27359,26839,26883,26406,26242,25985,25423,25404,25319,24679,25358,25488,21456,20292,20631,19840,18444,17941,16944,16540,15835,15248,15319,14721,14500,14711,14988,15159,14966,14204,14008,13763,13672,13388,13379,12718,13203,12866,12604,10505,10066,10277,10504,11074,10459,9796,8966,8150,8010,7149,6829,6203,5865,5349,4837,4318,3871,3394,2860,2359,2026,1742,1550,1382,1158,1063,872,3292
0,British Columbia,Children and Family Development,1981,Estimate,T,2826558,40266,39672,38977,38096,38157,38375,38537,37591,38549,39498,42454,42873,42310,41381,41954,44283,48302,51249,52599,52387,53821,55274,54764,54908,54165,53524,53089,52314,51538,50459,50099,50048,48753,49536,49995,41577,39391,39567,38260,35524,34700,32605,31498,30405,29479,29259,28282,27543,28363,28326,29052,28847,28037,27424,27466,27595,27684,27986,27035,27882,27579,26852,22951,21921,22349,22678,23667,22523,20946,19259,17944,17238,15728,14917,13549,12801,11636,10874,9709,8771,8048,7051,6204,5515,4938,4421,4090,3356,3001,2565,9893
0,British Columbia,Children and Family Development,1986,Estimate,F,1508568,20292,20272,20500,20162,20260,19977,19738,19418,18892,18928,19093,19178,18679,19535,19778,21580,21594,21255,20654,20928,22178,24138,25987,26737,26653,26892,27412,27090,27397,27581,27503,27376,26982,26375,25342,24670,24697,23961,24094,24482,20353,19373,19361,18789,17270,16928,15512,14851,14507,14312,14201,13764,13507,14223,13893,14462,14455,14511,14200,14302,14496,14643,14820,14614,14984,14969,14532,12562,11916,11856,11755,12039,11446,10471,9640,8951,8256,7559,7055,6272,5860,5202,4788,4230,3785,3416,2959,2525,2210,1914,7809
0,British Columbia,Children and Family Development,1986,Estimate,M,1495053,21302,21787,21654,21610,21567,20931,20887,20520,19871,20047,19860,19776,19464,20061,20752,22416,23059,22743,22011,22000,22904,24918,26441,27445,27240,27427,27622,27379,27538,26948,27106,26952,26650,26325,25570,25316,25401,24761,25348,25534,21527,20348,20617,19794,18237,17620,16501,15957,15431,15069,15076,14592,14539,14825,15014,15347,15047,14402,14200,13909,13654,13339,13181,12555,13008,12705,12357,10125,9681,9730,9576,9954,9218,8464,7630,6796,6374,5711,5161,4710,4239,3742,3190,2731,2332,1959,1641,1210,986,849,3050
0,British Columbia,Children and Family Development,1986,Estimate,T,3003621,41594,42059,42154,41772,41827,40908,40625,39938,38763,38975,38953,38954,38143,39596,40530,43996,44653,43998,42665,42928,45082,49056,52428,54182,53893,54319,55034,54469,54935,54529,54609,54328,53632,52700,50912,49986,50098,48722,49442,50016,41880,39721,39978,38583,35507,34548,32013,30808,29938,29381,29277,28356,28046,29048,28907,29809,29502,28913,28400,28211,28150,27982,28001,27169,27992,27674,26889,22687,21597,21586,21331,21993,20664,18935,17270,15747,14630,13270,12216,10982,10099,8944,7978,6961,6117,5375,4600,3735,3196,2763,10859
0,British Columbia,Children and Family Development,1987,Estimate,F,1531737,20578,20477,20493,20760,20410,20452,20194,19912,19593,19051,18995,19278,19358,18885,19680,19936,21677,21699,21441,20801,21077,22351,24399,26250,26965,26865,27154,27703,27341,27655,27780,27574,27494,27047,26415,25428,24831,24924,24181,24239,24755,20397,19441,19402,18853,17340,17023,15607,14950,14623,14382,14253,13833,13523,14268,13987,14548,14522,14527,14207,14379,14559,14731,14886,14672,15006,14975,14562,12491,11821,11783,11648,11887,11290,10296,9451,8746,8043,7302,6817,5983,5594,4930,4501,3985,3505,3155,2711,2229,1964,8051
